,text,Positive,Negative,Neutral,Compound,Sentiment,sentiment
0,r how credit meta ball studios mcq lgz,0.302,0.0,0.698,0.3818,Positive,1
1,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
2,r fo new do de santis charli cris with,0.0,0.0,1.0,0.0,Neutral,0
3,r saturns more xgx image nas y z,0.0,0.0,1.0,0.0,Neutral,0
4,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
5,le temps ces en alors,0.0,0.0,1.0,0.0,Neutral,0
6,r stake who dortmund man city tell,0.0,0.0,1.0,0.0,Neutral,0
7,r sea credit vancouver aquar,0.464,0.0,0.536,0.3818,Positive,1
8,just they ll se zi dilne,0.0,0.0,1.0,0.0,Neutral,0
9,crooks use two different po malware steal credit card numbers nhe,0.149,0.391,0.46,-0.6369,Negative,2
10,r mark bir homes qi mrs bosanquet cn,0.0,0.0,1.0,0.0,Neutral,0
11,r once the,0.0,0.0,1.0,0.0,Neutral,0
12,app store app store tunes tunes oq f le,0.0,0.0,1.0,0.0,Neutral,0
13,spoil,0.0,0.0,1.0,0.0,Neutral,0
14,r we its,0.0,0.0,1.0,0.0,Neutral,0
15,thehunnaban ritz manchester oct all,0.0,0.0,1.0,0.0,Neutral,0
16,hrqc l el ny,0.0,0.0,1.0,0.0,Neutral,0
17,human they credit matrix looking xb jd t kl e cj xd bi,0.416,0.0,0.584,0.7506,Positive,1
18,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
19,potu why wait you,0.0,0.0,1.0,0.0,Neutral,0
20,r mute swans good china my,0.42,0.0,0.58,0.4404,Positive,1
21,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
22,r giv awa g cash happy a tin sali just kung,0.346,0.0,0.654,0.5719,Positive,1
23,r extinct anima is cretaceous period instead,0.0,0.0,1.0,0.0,Neutral,0
24,askushwah yet and so,0.0,0.0,1.0,0.0,Neutral,0
25,if ru mol pratik fam pratik fam pratik sehajpal naagin rudra raichand ru pra el vt ez,0.135,0.0,0.865,0.3612,Positive,1
26,r anti dravidan,0.0,0.697,0.303,-0.3182,Negative,2
27,idk ill,0.0,1.0,0.0,-0.4939,Negative,2
28,r david osland judge tories brexit windrush universal credit grenfell,0.245,0.0,0.755,0.3818,Positive,1
29,r suzanne evans all everything god rishi sunak,0.259,0.0,0.741,0.2732,Positive,1
30,r minniie mehra there us it japan japan,0.0,0.0,1.0,0.0,Neutral,0
31,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
32,r tmhtvnews days november sanctions e commission u us as eth,0.0,0.0,1.0,0.0,Neutral,0
33,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
34,and c cs checking account in time,0.0,0.0,1.0,0.0,Neutral,0
35,r one britain goldman sachs world economic forum central bank digi,0.0,0.0,1.0,0.0,Neutral,0
36,spor please villa he ut,0.365,0.0,0.635,0.3182,Positive,1
37,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
38,i m they an,0.0,0.0,1.0,0.0,Neutral,0
39,r tmhtvnews days november sanctions e commission u us as eth,0.0,0.0,1.0,0.0,Neutral,0
40,r leilani dowding rishi sunak info sys we,0.0,0.0,1.0,0.0,Neutral,0
41,r entelekheia laurent ozon sa infosys,0.0,0.0,1.0,0.0,Neutral,0
42,bad credit auto loans no frills car hszdy dysm,0.182,0.399,0.42,-0.4767,Negative,2
43,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
44,sbi card connect the official sb late arise my humble sbi card connect,0.0,0.0,1.0,0.0,Neutral,0
45,r we its,0.0,0.0,1.0,0.0,Neutral,0
46,my told ill,0.0,0.583,0.417,-0.4215,Negative,2
47,r adv reproduction snap shot iv sci comm research science twitter academic chatter med twitte,0.0,0.0,1.0,0.0,Neutral,0
48,r one britain goldman sachs world economic forum central bank digi,0.0,0.0,1.0,0.0,Neutral,0
49,r leilani dowding infosys president mohit joshi we,0.0,0.0,1.0,0.0,Neutral,0
50,,0.0,0.0,0.0,0.0,Neutral,0
51,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
52,uzg lw,0.0,0.0,1.0,0.0,Neutral,0
53,,0.0,0.0,0.0,0.0,Neutral,0
54,r cendon mabel simply ty borden graham wardle heartland on cb cb ty borden graham wardle photo credit,0.358,0.0,0.642,0.7783,Positive,1
55,the regular girl also k,0.0,0.0,1.0,0.0,Neutral,0
56,r cendon mabel simply ty borden graham wardle heartland on cb cb ty borden graham wardle photo credit,0.358,0.0,0.642,0.7783,Positive,1
57,r nickie charles some n,0.0,0.0,1.0,0.0,Neutral,0
58,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
59,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
60,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
61,r laga cawan hawaii tengah nak beli,0.0,0.0,1.0,0.0,Neutral,0
62,r gov de santis thank leader,0.385,0.0,0.615,0.3612,Positive,1
63,r tanya d gqd vr gsw,0.0,0.0,1.0,0.0,Neutral,0
64,r cendon mabel simply ty borden graham wardle heartland on cb cb ty borden graham wardle photo credit,0.358,0.0,0.642,0.7783,Positive,1
65,r video,0.0,0.0,1.0,0.0,Neutral,0
66,sporty bet n sporty bet n if x mx i qp cg,0.0,0.0,1.0,0.0,Neutral,0
67,r xtinaluver all haters,0.0,0.615,0.385,-0.4939,Negative,2
68,r fxhedgers credi suiss ha day lef t answe questio analyst sa i ma nee a leas billio t fun,0.305,0.0,0.695,0.6908,Positive,1
69,depends that s see is,0.0,0.0,1.0,0.0,Neutral,0
70,r mv cup bon la mv crdit mutuel on,0.0,0.0,1.0,0.0,Neutral,0
71,homes qi mrs bosanquet cn leigh leigh ann keen thank denise i m,0.357,0.0,0.643,0.6124,Positive,1
72,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
73,r david osland universal credit you,0.394,0.0,0.606,0.3818,Positive,1
74,r msnb if republicans united,0.483,0.0,0.517,0.4215,Positive,1
75,r we are the same lack child tax credit yj wo qxy,0.187,0.165,0.647,0.0772,Positive,1
76,r,0.0,0.0,0.0,0.0,Neutral,0
77,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
78,r pornox dia vanessa cage full loadus fucking et r wv clic o lin n credi car s do hi,0.0,0.0,1.0,0.0,Neutral,0
79,imma b i m florida sa les,0.0,0.0,1.0,0.0,Neutral,0
80,r how watch credit bible build build jakapa,0.302,0.0,0.698,0.3818,Positive,1
81,r macayato your artist voice work aspiring singer logo credit u zx,0.224,0.0,0.776,0.3818,Positive,1
82,my,0.0,0.0,1.0,0.0,Neutral,0
83,r jha sanjay it bj dr manmohan singh p thank,0.263,0.0,0.737,0.3612,Positive,1
84,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
85,r sunak when when covid,0.0,0.0,1.0,0.0,Neutral,0
86,r money man never,0.0,0.0,1.0,0.0,Neutral,0
87,r paul aqua urgent rishi sunaks family runs china linked world economic forum partner company peddling digital i social credit sc,0.206,0.0,0.794,0.5267,Positive,1
88,r money man never,0.0,0.0,1.0,0.0,Neutral,0
89,r once the,0.0,0.0,1.0,0.0,Neutral,0
90,,0.0,0.0,0.0,0.0,Neutral,0
91,r leadership ng phot new pd atiku abubakar bayelsa,0.0,0.0,1.0,0.0,Neutral,0
92,ah here indiana as,0.0,0.0,1.0,0.0,Neutral,0
93,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
94,police that k tjp,0.0,0.0,1.0,0.0,Neutral,0
95,r classic credit c,0.722,0.0,0.278,0.3818,Positive,1
96,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
97,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
98,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
99,rep t,0.0,0.0,1.0,0.0,Neutral,0
100,chris g seaton honestly he s its,0.429,0.0,0.571,0.4588,Positive,1
101,r rainbows,0.0,0.0,1.0,0.0,Neutral,0
102,r sea credit vancouver aquar,0.464,0.0,0.536,0.3818,Positive,1
103,r mute swans good china my,0.42,0.0,0.58,0.4404,Positive,1
104,r after told the,0.0,0.0,1.0,0.0,Neutral,0
105,it meme center bleach jw f,0.394,0.0,0.606,0.3818,Positive,1
106,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
107,r one britain goldman sachs world economic forum central bank digi,0.0,0.0,1.0,0.0,Neutral,0
108,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
109,,0.0,0.0,0.0,0.0,Neutral,0
110,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
111,r mt mindbrain geec john billions canadians th,0.0,0.0,1.0,0.0,Neutral,0
112,r angela d writes just,0.0,0.0,1.0,0.0,Neutral,0
113,r credit realjackjerk g erx nd,0.464,0.0,0.536,0.3818,Positive,1
114,r alert january democrats,0.524,0.0,0.476,0.296,Positive,1
115,r once the,0.0,0.0,1.0,0.0,Neutral,0
116,r msnb stefanik,0.0,0.0,1.0,0.0,Neutral,0
117,r opptimus s iime if,0.0,0.0,1.0,0.0,Neutral,0
118,hard rock hurricane ida yet city vz,0.0,0.189,0.811,-0.1027,Negative,2
119,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
120,r american muck sound listen she,0.0,0.0,1.0,0.0,Neutral,0
121,r david wolfe sending european ukraine they,0.0,0.0,1.0,0.0,Neutral,0
122,mr nunesteach hst eorg mahalo scott thanks canva tutu tinkerella team hst ed tech slam sot photo paq qzm j mf,0.123,0.111,0.766,0.0772,Positive,1
123,jeff kerr cb nf lon cb chiefs buffalo bills bills q bwatch buff rumblings ct wpod arrowhead live mahome sz yeah q q t got lol,0.2,0.0,0.8,0.6124,Positive,1
124,potu you you,0.0,0.0,1.0,0.0,Neutral,0
125,r saul staniforth rishi sunak universal credit gm,0.302,0.0,0.698,0.3818,Positive,1
126,r rhae wayne yall is yall kanye the,0.0,0.0,1.0,0.0,Neutral,0
127,oc fb l,0.0,0.0,1.0,0.0,Neutral,0
128,r chris j nurse gov ron de santis anna for florid,0.0,0.0,1.0,0.0,Neutral,0
129,r credit u federal reserve,0.565,0.0,0.435,0.3818,Positive,1
130,r marx is my nigga recent,0.0,0.0,1.0,0.0,Neutral,0
131,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
132,r zerkee who,0.0,0.0,1.0,0.0,Neutral,0
133,r jha sanjay it bj dr manmohan singh p thank,0.263,0.0,0.737,0.3612,Positive,1
134,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
135,suddenly george bush potu,0.0,0.0,1.0,0.0,Neutral,0
136,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
137,r msnb stefanik,0.0,0.0,1.0,0.0,Neutral,0
138,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
139,r after told the,0.0,0.0,1.0,0.0,Neutral,0
140,r rishi sunaks family runs china linked world economic forum partner company peddling digital i social credit scores,0.148,0.0,0.852,0.3818,Positive,1
141,r stephanie,0.0,0.0,1.0,0.0,Neutral,0
142,r littlex bun bun credit something polrr sm n ra,0.271,0.0,0.729,0.3818,Positive,1
143,r mac lesggy cette is crdit nas,0.0,0.0,1.0,0.0,Neutral,0
144,potu my the we i d kamala,0.0,0.0,1.0,0.0,Neutral,0
145,r when,0.0,0.0,1.0,0.0,Neutral,0
146,r jha sanjay it bj dr manmohan singh p thank,0.263,0.0,0.737,0.3612,Positive,1
147,pro football talk gon na give,0.0,0.0,1.0,0.0,Neutral,0
148,r bg,0.0,0.0,1.0,0.0,Neutral,0
149,r we sounds,0.0,0.0,1.0,0.0,Neutral,0
150,r money man never,0.0,0.0,1.0,0.0,Neutral,0
151,r madi boity they they they they they,0.0,0.0,1.0,0.0,Neutral,0
152,edver si t mr dan novotny k cavalaro chris sununu nope i m i ve ben jerrys,0.0,0.0,1.0,0.0,Neutral,0
153,r america rising despite wisconsins tony evers,0.0,0.0,1.0,0.0,Neutral,0
154,r ol pejeta there africa,0.0,0.0,1.0,0.0,Neutral,0
155,r bo batch boo tao i ve these,0.0,0.0,1.0,0.0,Neutral,0
156,king of quenby unfiltered steve potu you biden,0.0,0.0,1.0,0.0,Neutral,0
157,r after told the,0.0,0.0,1.0,0.0,Neutral,0
158,r how watch credit bible build build jakapa,0.302,0.0,0.698,0.3818,Positive,1
159,r the,0.0,0.0,1.0,0.0,Neutral,0
160,rm ai r,0.0,0.0,1.0,0.0,Neutral,0
161,r me can banks yes,0.474,0.0,0.526,0.4019,Positive,1
162,r titan seas reflect sunlight saturns titan,0.0,0.0,1.0,0.0,Neutral,0
163,r james melville everyone,0.0,0.0,1.0,0.0,Neutral,0
164,r home facial sub wanna po stars try popsta go popstar labs model,0.0,0.247,0.753,-0.5574,Negative,2
165,credit p viktor orban,0.565,0.0,0.435,0.3818,Positive,1
166,r mac lesggy cette is crdit nas,0.0,0.0,1.0,0.0,Neutral,0
167,fox crist rn de santis crist ron that dana perino,0.0,0.0,1.0,0.0,Neutral,0
168,r stake who dortmund man city tell,0.0,0.0,1.0,0.0,Neutral,0
169,r fo new do de santis charli cris with,0.0,0.0,1.0,0.0,Neutral,0
170,r ahmed khabeer under yogi govt uttar pradesh india police state,0.0,0.0,1.0,0.0,Neutral,0
171,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
172,r fo new do de santis charli cris with,0.0,0.0,1.0,0.0,Neutral,0
173,cmdr rng elite dangerous my not,0.0,0.383,0.617,-0.4767,Negative,2
174,kaiser chiefs the arena london nov all wl y ze,0.0,0.0,1.0,0.0,Neutral,0
175,jha sanjay he p old india your new india p stop,0.0,0.216,0.784,-0.296,Negative,2
176,r xx no l ykc a ac vl yr n,0.0,0.306,0.694,-0.296,Negative,2
177,r the journey begins image isekai meta,0.0,0.0,1.0,0.0,Neutral,0
178,zd cv day corel corel dra graphics suite pc file parsing out of bounds write remote code execution cvs credit zi,0.115,0.0,0.885,0.3818,Positive,1
179,zd cv day corel corel dra graphics suite pc file parsing out of bounds write remote code execution cvs credit k ei,0.115,0.0,0.885,0.3818,Positive,1
180,r asad umar cost pakistans,0.0,0.0,1.0,0.0,Neutral,0
181,r money man never,0.0,0.0,1.0,0.0,Neutral,0
182,we its wander francos yws lr wm er u qf mg,0.0,0.0,1.0,0.0,Neutral,0
183,zd cv day corel corel dra graphics suite em file parsing out of bounds read remote code execution cvs credit qt hr,0.213,0.0,0.787,0.6597,Positive,1
184,zd cv day corel corel dra graphics suite pd file parsing out of bounds read information disclosure cvs credit y plp sqo yqq,0.11,0.0,0.89,0.3818,Positive,1
185,r end austerity now i d rishi sunak he s,0.0,0.0,1.0,0.0,Neutral,0
186,zd cv day corel corel dra graphics suite gi file parsing out of bounds write remote code execution cvs credit furd zy wohq,0.106,0.0,0.894,0.3818,Positive,1
187,zd cv day corel corel dra graphics suite cg file parsing stackbased buffer overflow remote code execution cvs credit k ez m lqnio,0.212,0.0,0.788,0.6249,Positive,1
188,,0.0,0.0,0.0,0.0,Neutral,0
189,zd cv day corel corel dra graphics suite j file parsing out of bounds read information disclosure cvs credit x ilrn g kbzn,0.12,0.0,0.88,0.3818,Positive,1
190,is,0.0,0.0,1.0,0.0,Neutral,0
191,ert jd vo,0.0,0.0,1.0,0.0,Neutral,0
192,zd cv day corel corel dra graphics suite bm file parsing out of bounds read information disclosure cvs credit pnx,0.12,0.0,0.88,0.3818,Positive,1
193,zd cv day iron ca st file parsing pointer remote code execution cvs credit kn f jd rt,0.14,0.0,0.86,0.3818,Positive,1
194,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
195,r gov de santis thank leader,0.385,0.0,0.615,0.3612,Positive,1
196,r lowcarbjiji bacon cheddar sausage fried eggs zucchini tag do nt,0.0,0.0,1.0,0.0,Neutral,0
197,r wall street silv ope biden ope oot credit tombo stocks i,0.224,0.0,0.776,0.3818,Positive,1
198,r,0.0,0.0,0.0,0.0,Neutral,0
199,anonsec news used two po malware steal details over credit cards vg g uz u eg u kl c bty,0.116,0.304,0.58,-0.6369,Negative,2
200,r coconutkitty women zn wc,0.0,0.0,1.0,0.0,Neutral,0
201,looking credit i p xh c lw,0.464,0.0,0.536,0.3818,Positive,1
202,r what s arjo he,0.0,0.0,1.0,0.0,Neutral,0
203,dave with dave nf nifty gateway,0.351,0.0,0.649,0.4019,Positive,1
204,r brigids gate can it and,0.0,0.0,1.0,0.0,Neutral,0
205,r james melville everyone,0.0,0.0,1.0,0.0,Neutral,0
206,lesson learned t you bravo t karma,0.0,0.0,1.0,0.0,Neutral,0
207,r james melville everyone,0.0,0.0,1.0,0.0,Neutral,0
208,r one britain goldman sachs world economic forum central bank digi,0.0,0.0,1.0,0.0,Neutral,0
209,booking woof,0.0,0.0,1.0,0.0,Neutral,0
210,r marvfess credit bc twitter jdli rsf,0.342,0.0,0.658,0.3818,Positive,1
211,r bo batch boo tao i ve these,0.0,0.0,1.0,0.0,Neutral,0
212,r jha sanjay it bj dr manmohan singh p thank,0.263,0.0,0.737,0.3612,Positive,1
213,new price this see kk fvq vrn co z na,0.238,0.0,0.762,0.3612,Positive,1
214,r ava addams ful vide belo m q,0.0,0.0,1.0,0.0,Neutral,0
215,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
216,if check vduy go,0.0,0.0,1.0,0.0,Neutral,0
217,r mac lesggy cette is crdit nas,0.0,0.0,1.0,0.0,Neutral,0
218,dear dementia brandon you white house midterms midterms ad an ygb,0.206,0.0,0.794,0.3818,Positive,1
219,r marilyn packham parsa regina good reginahave tuesdayhope credit,0.478,0.0,0.522,0.6705,Positive,1
220,thedancing dog lo sigh premiere if pv,0.155,0.0,0.845,0.0258,Neutral,0
221,r they,0.0,0.0,1.0,0.0,Neutral,0
222,credit ryan,0.722,0.0,0.278,0.3818,Positive,1
223,r brezia tomson sex credit n gvj z cx,0.342,0.0,0.658,0.3818,Positive,1
224,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
225,r yar kafanchan having nigerians,0.0,0.0,1.0,0.0,Neutral,0
226,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
227,r law credit suisse french,0.464,0.0,0.536,0.3818,Positive,1
228,r once the,0.0,0.0,1.0,0.0,Neutral,0
229,the credit card rewards daily kh say will run for miles david c murphy,0.341,0.0,0.659,0.6908,Positive,1
230,r tmhtvnews days november sanctions e commission u us as eth,0.0,0.0,1.0,0.0,Neutral,0
231,i ve i m college,0.0,0.0,1.0,0.0,Neutral,0
232,r silver sports gh ken must go finance minister ken ofori atta ghana football association,0.0,0.0,1.0,0.0,Neutral,0
233,chip buckwell its america hey,0.0,0.0,1.0,0.0,Neutral,0
234,r jha sanjay it bj dr manmohan singh p thank,0.263,0.0,0.737,0.3612,Positive,1
235,r solihull police great our task force p o neill police now,0.339,0.0,0.661,0.6249,Positive,1
236,r this followers predict leipzig real madrid the,0.0,0.0,1.0,0.0,Neutral,0
237,r mute swans good china my,0.42,0.0,0.58,0.4404,Positive,1
238,r asikpo investing before,0.0,0.0,1.0,0.0,Neutral,0
239,r no design perfect credit zali photo i gzali,0.504,0.176,0.32,0.6249,Positive,1
240,not like delusional,0.0,0.513,0.487,-0.2755,Negative,2
241,r david osland universal credit you,0.394,0.0,0.606,0.3818,Positive,1
242,r masa developer launch dev net select cl in,0.0,0.0,1.0,0.0,Neutral,0
243,tricheratop ill tom he but nee,0.0,0.275,0.725,-0.2263,Negative,2
244,if cib trustpilot rd x worst,0.0,0.506,0.494,-0.6249,Negative,2
245,v ni im ga,0.0,0.0,1.0,0.0,Neutral,0
246,r how watch credit bible build build jakapa,0.302,0.0,0.698,0.3818,Positive,1
247,r shireen mazari pakistan credit default swaps it,0.302,0.0,0.698,0.3818,Positive,1
248,r giv awa the pack subscription happy a tin warriors sali just ku,0.27,0.0,0.73,0.5719,Positive,1
249,joe biden rerun trump remember obama gas prices why,0.0,0.0,1.0,0.0,Neutral,0
